event_id,offer_id,event_name,timestamp,actor,metadata
7df16791-73f6-4ccf-a09c-29294b3c91cd,4a40a734-9a42-405b-85b1-89d2a3b409ba,offer_generated,2026-06-09T13:53:20Z,system,"{""trigger"": ""hr_ops_approval""}"
416cd008-8df8-4bb1-8def-d157e70c31f9,3f270996-6702-48dc-99f3-2157d72dd8fa,offer_generated,2026-06-06T09:55:07Z,system,"{""trigger"": ""hr_ops_approval""}"
097d20ad-2465-45b1-985b-231dde1ad1fd,9769e1af-6fe6-4187-bf54-0e0fe51c13f1,offer_generated,2026-04-20T19:21:31Z,system,"{""trigger"": ""hr_ops_approval""}"
6a551843-b8b2-41db-870e-63f97514e5cf,9769e1af-6fe6-4187-bf54-0e0fe51c13f1,offer_sent,2026-04-20T20:56:31Z,system,"{""channel"": ""email"", ""provider"": ""sendgrid""}"
fd9d6a12-460a-4b17-a3fc-1ee843f1a78d,9769e1af-6fe6-4187-bf54-0e0fe51c13f1,offer_opened,2026-04-21T13:28:31Z,candidate,"{""device"": ""desktop"", ""ip_hash"": ""85fc9dc9d779f019""}"
c45a4efc-56a5-4801-b908-ccabf0ab4bc8,9769e1af-6fe6-4187-bf54-0e0fe51c13f1,offer_signed,2026-04-21T20:20:31Z,candidate,"{""method"": ""aadhaar_otp""}"
fd9bd9f7-0188-4a59-b8ef-4f6a7edc7189,dd72f27e-3af5-4159-ad65-f425b6a6df99,offer_generated,2026-05-22T09:08:43Z,system,"{""trigger"": ""hr_ops_approval""}"
26c74bac-81c6-4c14-984a-b3a0dcebf622,dd72f27e-3af5-4159-ad65-f425b6a6df99,offer_sent,2026-05-22T10:03:43Z,system,"{""channel"": ""email"", ""provider"": ""sendgrid""}"
7ef6b7e6-e661-4e5d-84e7-943d460acacb,dd72f27e-3af5-4159-ad65-f425b6a6df99,offer_opened,2026-05-22T15:12:43Z,candidate,"{""device"": ""desktop"", ""ip_hash"": ""1a78eedea1e132ec""}"
ab98af27-a1b3-4be1-962b-4e55a5ff01df,dd72f27e-3af5-4159-ad65-f425b6a6df99,offer_signed,2026-05-22T21:22:43Z,candidate,"{""method"": ""aadhaar_otp""}"
0a063246-673d-40cb-965c-661ad0b860d1,0cba1b13-b475-4011-b1d6-4340634ab347,offer_generated,2026-06-07T11:16:17Z,system,"{""trigger"": ""hr_ops_approval""}"
a75e2bba-0f79-443a-80e0-4d186cb751f5,0cba1b13-b475-4011-b1d6-4340634ab347,offer_sent,2026-06-07T12:29:17Z,system,"{""channel"": ""email"", ""provider"": ""sendgrid""}"
dcc99ef0-d0fd-4dfa-a478-22b6a488357b,0cba1b13-b475-4011-b1d6-4340634ab347,offer_opened,2026-06-08T07:50:17Z,candidate,"{""device"": ""tablet"", ""ip_hash"": ""b3d416e1efc748a2""}"
9f75dbf9-b94a-4530-8f17-f478e4f08ff7,0cba1b13-b475-4011-b1d6-4340634ab347,offer_signed,2026-06-08T08:50:17Z,candidate,"{""method"": ""aadhaar_otp""}"
3f4af2f9-6656-4ca0-a373-19ed757674dd,abef7954-dace-4f86-929c-6e74553ee844,offer_generated,2026-06-06T08:02:38Z,system,"{""trigger"": ""hr_ops_approval""}"
b9c1b23a-0dbd-4d1c-aeb3-637b9c0632ba,abef7954-dace-4f86-929c-6e74553ee844,offer_sent,2026-06-06T08:13:38Z,system,"{""channel"": ""email"", ""provider"": ""sendgrid""}"
4f61cb26-5515-42b7-9823-76c66f0ca5bb,abef7954-dace-4f86-929c-6e74553ee844,offer_opened,2026-06-06T19:39:38Z,candidate,"{""device"": ""tablet"", ""ip_hash"": ""0a884eaf47cefcd1""}"
d2545869-3124-4b46-b74c-1e49161ee790,abef7954-dace-4f86-929c-6e74553ee844,offer_signed,2026-06-07T01:32:38Z,candidate,"{""method"": ""aadhaar_otp""}"
07821088-c06a-473f-8d40-873bf42305e2,1d69854a-aeeb-4115-93c5-81767f6f0945,offer_generated,2026-05-12T21:21:40Z,system,"{""trigger"": ""hr_ops_approval""}"
